COUNTRY_REGION,Total_Cases,Total_Deaths,Population_2020,Area_km2,Cases_per_Million,Deaths_per_Million,CFR_%,Cases_per_km2,Deaths_per_km2,Population_Density_Calc
Germany,1337078.0,21975.0,83328988,357114,16045.772690771186,263.7137510898368,1.6435092043994441,3.7441209249707375,0.06153497202573968,233.34002027363812
Guinea,13420.0,79.0,13205153,245857,1016.2699364407214,5.982513038659984,0.5886736214605067,0.05458457558662149,0.00032132499786461234,53.710705816795944
Holy See (Vatican City State),26.0,0.0,520,1,50000.0,0.0,0.0,26.0,0.0,520.0
India,9884100.0,143355.0,1396387127,3287590,7078.337954342944,102.66135889406549,1.450359668558594,3.0064880353085393,0.04360488990415472,424.7449125347139
Iraq,574634.0,12579.0,42556984,438317,13502.695585758616,295.580156714113,2.189045548992924,1.3110009422404334,0.028698407773369503,97.09179429499655
Italy,1843712.0,64520.0,59500579,301336,30986.454770465345,1084.3591958995896,3.4994619550124964,6.118459128680277,0.2141131494411554,197.4559262749887
Japan,179653.0,2585.0,125244761,377930,1434.4152886363047,20.639585874574028,1.4388849615647943,0.4753605164977641,0.006839890985103061,331.3967163231286
Liechtenstein,1514.0,18.0,38756,160,39064.91898028692,464.4442150892765,1.1889035667107,9.4625,0.1125,242.225
Luxembourg,41272.0,396.0,630399,2586,65469.6470013436,628.1735853007381,0.9594882729211088,15.959783449342615,0.1531322505800464,243.7737819025522
Madagascar,17638.0,258.0,28225177,587041,624.9030785528821,9.140775273083317,1.4627508787844425,0.03004560158489782,0.00043949230121916527,48.08041857383045
Mali,5814.0,194.0,21224040,1240192,273.9346514612675,9.14057832533297,3.3367733058135536,0.004687983796057385,0.00015642739188770772,17.113511456290638
Nepal,248423.0,1698.0,29348627,147181,8464.55270292542,57.85619886068265,0.6835115911167646,1.6878741141859344,0.011536815213920274,199.40499792772164
Paraguay,93582.0,1953.0,6618695,406752,14139.04100430674,295.0732735078441,2.0869397961146374,0.23007139485485012,0.004801451498701911,16.27206504208953
Serbia,266432.0,2331.0,7358005,88361,36209.81502458887,316.7978276720388,0.8748949075186163,3.015266916399769,0.026380416699675197,83.27208836477631
